#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
22347471|2019-05-28T21:56:23.770000|38.4822|15.5343|129.1|BULLETIN-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
22347851|2019-05-29T00:42:15.710000|39.5733|16.5042|24.2|BULLETIN-INGV||||ML|2.0|--|3 km SW Corigliano Calabro (CS)
22349691|2019-05-29T09:18:49.430000|38.1522|15.1123|8.7|BULLETIN-INGV||||ML|2.8|--|Costa Siciliana nord-orientale (Messina)
22350901|2019-05-29T14:21:53.340000|37.6667|15.1475|6.7|BULLETIN-INGV||||ML|3.0|--|2 km S Santa Venerina (CT)
22354571|2019-05-30T09:03:33.164000|13.2012|-89.2786|87.9|SURVEY-INGV-A||||Mwp|6.3|--|El Salvador [Sea]
22356161|2019-05-30T15:38:01.144000|-21.7723|-176.19|180.1|SURVEY-INGV-A||||Mwp|6.1|--|Tonga [Sea]
22356211|2019-05-30T15:50:24.100000|44.3537|9.857|73.1|BULLETIN-INGV||||ML|2.1|--|3 km SW Pontremoli (MS)
22356481|2019-05-30T16:48:49.760000|39.829|15.8667|279.4|BULLETIN-INGV||||ML|3.3|--|1 km NE Santa Domenica Talao (CS)
22357441|2019-05-30T21:45:23.850000|39.1757|15.378|267.0|BULLETIN-INGV||||ML|2.5|--|Tirreno Meridionale (MARE)
22357891|2019-05-31T04:42:20.600000|38.3365|14.768|135.8|BULLETIN-INGV||||ML|2.2|--|Costa Siciliana nord-orientale (Messina)
22359651|2019-05-31T09:04:52.270000|38.3132|16.0262|16.9|BULLETIN-INGV||||ML|2.4|--|1 km NW Molochio (RC)
22360191|2019-05-31T10:12:32.241000|6.26133|126.615|98.0|SURVEY-INGV-A||||Mwp|6.1|--|Philippines [Sea]
22360461|2019-05-31T10:43:15.950000|39.4202|15.4163|288.8|BULLETIN-INGV||||ML|2.8|--|Tirreno Meridionale (MARE)
22364591|2019-06-01T03:03:03.550000|38.1277|15.1787|10.0|BULLETIN-INGV||||ML|2.0|--|2 km SE Terme Vigliatore (ME)
22364941|2019-06-01T04:26:19.651000|40.4886|20.6863|10.1|SURVEY-INGV-A||||mb|4.9|--|Confine Grecia-Albania (GRECIA, ALBANIA)
22365751|2019-06-01T04:43:06.640000|38.4862|16.1422|9.8|BULLETIN-INGV||||ML|2.2|--|4 km NE Galatro (RC)
22367661|2019-06-01T08:30:36.970000|38.1317|15.1768|9.7|BULLETIN-INGV||||ML|2.3|--|1 km SE Terme Vigliatore (ME)
22368331|2019-06-01T09:14:19.110000|38.5083|16.1417|10.1|BULLETIN-INGV||||Mw|3.4|--|2 km SE San Pietro di Caridà (RC)
22369371|2019-06-01T10:52:14.420000|38.1233|15.1732|9.7|BULLETIN-INGV||||ML|2.1|--|1 km N Rodì Milici (ME)
22373601|2019-06-01T23:20:14.710000|39.8162|15.8037|276.9|BULLETIN-INGV||||ML|2.6|--|1 km NE Scalea (CS)
22373931|2019-06-02T01:14:51.140000|38.4962|16.1465|17.8|BULLETIN-INGV||||ML|2.1|--|3 km SE San Pietro di Caridà (RC)
